words,character
"I told you, you wouldn't believe me. ",KIRK
This man has no salt in his body at all. ,MCCOY
Call engineering and have sickbay systems put on priority.,MCCOY
"No known race, Captain. Nevertheless, it will contact us in one point four minutes. ",SPOCK
Even Vulcans? ,MCCOY
Jim! (Kirk turns machine off) ,MCCOY
"Bones, are you able to judge the long range effects on Lieutenant Romaine? ",KIRK
"We are not tourists here, Lieutenant. ",SPOCK
Now. ,KIRK
The ship is almost completely encircled by the field. It resembles a conventional force field but on unusual wavelengths.,SPOCK
You say you can communicate with it. Perhaps you can find out what we're doing here. ,KIRK
"All right, Ensign. You can go. Thank you very much. Would you mind telling me what this is all about? ",KIRK
"Well, you're due in surgery. I'm going to bob your ears. ",MCCOY
It's all right. ,KIRK
"Yes, we must. I'm losing command. I'm losing my ability to command. I'm losing the Enterprise. ",KIRK
"Take no action, Mister Hansen.",SPOCK
I'll explain when I see the Fuhrer. ,KIRK
Sounds like Don Juan.,MCCOY
By understanding every life comes to an end when time demands it. Loss of life is to be mourned but only if the life was wasted.,SPOCK
"The orbit of Gamma Hydra Four carried the planet directly through the comet's trail. On conventional radiation settings, we discovered nothing. On resetting our sensors to the extreme lower range of the scale, undetected radiation appeared. Below normal radiation levels but definitely present, and undoubtedly residue from the comet. ",SPOCK
"Actually, Mister Sandoval, we didn't come here because of your silent radio. ",KIRK
"I believe we have a match, Captain. ",SPOCK
"Phaser hit on port deflector four, Captain. ",SPOCK
Maintenance note. My recording computer has a serious malfunction. Recommend it either be corrected or scrapped. Compute. ,KIRK
"Bring it to the bridge at once, Doctor. ",SPOCK
"One more like that, and I'm going to lose both these men.",MCCOY
"If I understand you correctly, that would seem to be a problem. ",SPOCK
"Get that ship out of here, Mister Scott. ",KIRK
"He isn't giving up. If they can do it, why can't we? ",KIRK
"Aurora personnel, stand by to be transported aboard. Energise. ",KIRK
"Oh, I'm assigning your technical aide, Captain. One of our psychiatrists does have a background in rehabilitative therapy.",MCCOY
"In chess, when one is outmatched, the game is over. Checkmate.",SPOCK
"Apparently, this double, however different in temperament, has your knowledge of the ship, its crew, its devices. This being the case, perhaps we can outguess him by determining his next move. Knowing how the ship is laid out, where would you go to elude a mass search? ",SPOCK
"I'm happy. I'm so happy. If it weren't for the dreams, my mind would be completely at peace. ",KIRK
"Goodnight, Doctor. ",SPOCK
Plum? ,KIRK
A chemical stimulant to speed up reproduction and replacement of blood in the body. It's only experimental. ,MCCOY
What direction? ,KIRK
"Unfortunately, you're both right. It's the only thing we can do.",MCCOY
"Doctor Daystrom, this is my first officer, Mister Spock. ",KIRK
Where are the others? ,KIRK
"I have to, Bones. Look at this place. A tank. I can't command a ship from inside an aquarium. I can't live in here. ",KIRK
"I wish to ask a question. What of Sarek's family, his wife and son? ",SPOCK
Computer. Report on analysis of Exhibit A. ,SPOCK
"You'll try to explain. You'd better be prepared to do more than that. Kirk out. Mister Spock, I'll need your help. Mister Chekov, maintain battle readiness. Lieutenant Uhura, see that the transporter room is standing by. ",KIRK
Summation. ,KIRK
How often mankind has wished for a world as peaceful and secure as the one Landru provided. ,SPOCK
Forget.  ,SPOCK
Spock? ,KIRK
"Bones, tell the professor what the autopsy revealed. ",KIRK
Explain. ,KIRK
"That's not good enough! This could be it, but we can't test it without the ship's computers. ",MCCOY
"Warp factor three, Mister Sulu. ",KIRK
"I will, but I'm bringing Bela Oxmyx with me. ",KIRK
